corridor_encoded,event_cause_encoded,vehicle_type_encoded,police_station_encoded,zone_encoded,hour_of_day,day_of_week,month,is_peak_hour,is_weekend,is_night,hour_sin,hour_cos,is_high_priority_corridor,is_non_corridor,has_vehicle_type,has_zone,station_load,y_closure,y_priority,y_duration,id,corridor,event_cause,priority,cause_corridor_key,cause_priority_key,cause_station_key,police_station,zone,is_stale_active
19,14,5,39,10,17,3,3,1,0,0,-0.9659258262890683,-0.25881904510252063,1,0,1,0,178,0,1,,FKID000000,Tumkur Road,vehicle_breakdown,High,vehicle_breakdown_Tumkur Road,vehicle_breakdown_High,vehicle_breakdown_Peenya,Peenya,__MISSING__,0
12,14,3,15,10,4,1,1,0,0,1,0.8660254037844386,0.5000000000000001,1,0,1,0,116,0,1,,FKID000001,ORR East 1,vehicle_breakdown,High,vehicle_breakdown_ORR East 1,vehicle_breakdown_High,vehicle_breakdown_HSR Layout,HSR Layout,__MISSING__,0
11,6,0,51,1,6,5,11,0,1,0,1.0,6.123233995736766e-17,0,1,0,1,105,0,0,,FKID000002,Non-corridor,others,Low,others_Non-corridor,others_Low,others_Wilson Garden,Wilson Garden,Central Zone 2,0
11,13,0,43,10,17,3,3,1,0,0,-0.9659258262890683,-0.25881904510252063,0,1,0,0,302,1,0,,FKID000003,Non-corridor,tree_fall,Low,tree_fall_Non-corridor,tree_fall_Low,tree_fall_Sadashivanagar,Sadashivanagar,__MISSING__,0
11,14,7,51,10,4,1,1,0,0,1,0.8660254037844386,0.5000000000000001,0,1,1,0,105,0,0,38.74983805,FKID000004,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Wilson Garden,Wilson Garden,__MISSING__,0
11,2,0,18,4,3,1,11,0,0,1,0.7071067811865476,0.7071067811865476,0,1,0,1,135,0,0,,FKID000005,Non-corridor,accident,Low,accident_Non-corridor,accident_Low,accident_Hebbala,Hebbala,North Zone 1,0
11,14,2,31,10,7,1,1,0,0,0,0.9659258262890683,-0.25881904510252063,0,1,1,0,44,0,0,,FKID000006,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Kengeri,Kengeri,__MISSING__,0
11,6,0,11,10,6,1,1,0,0,0,1.0,6.123233995736766e-17,0,1,0,0,212,0,0,,FKID000007,Non-corridor,others,Low,others_Non-corridor,others_Low,others_Cubbon Park,Cubbon Park,__MISSING__,0
5,10,0,11,10,2,0,2,0,0,1,0.49999999999999994,0.8660254037844387,1,0,0,0,212,0,1,720.0,FKID000008,CBD 2,public_event,High,public_event_CBD 2,public_event_High,public_event_Cubbon Park,Cubbon Park,__MISSING__,0
11,14,5,19,10,5,1,1,0,0,1,0.9659258262890683,0.25881904510252074,0,1,1,0,276,0,0,,FKID000009,Non-corridor,vehicle_breakdown,Low,vehicle_breakdown_Non-corridor,vehicle_breakdown_Low,vehicle_breakdown_Hennuru,Hennuru,__MISSING__,0
13,16,0,28,10,18,3,3,1,0,0,-1.0,-1.8369701987210297e-16,1,0,0,0,228,0,1,,FKID000010,ORR East 2,water_logging,High,water_logging_ORR East 2,water_logging_High,water_logging_K.R. Pura,K.R. Pura,__MISSING__,0
16,14,8,6,10,5,1,1,0,0,1,0.9659258262890683,0.25881904510252074,1,0,1,0,297,0,1,,FKID000011,ORR West 1,vehicle_breakdown,High,vehicle_breakdown_ORR West 1,vehicle_breakdown_High,vehicle_breakdown_Byatarayanapura,Byatarayanapura,__MISSING__,0
13,16,0,35,10,18,3,3,1,0,0,-1.0,-1.8369701987210297e-16,1,0,0,0,120,0,1,,FKID000012,ORR East 2,water_logging,High,water_logging_ORR East 2,water_logging_High,water_logging_Mahadevapura,Mahadevapura,__MISSING__,1
14,6,0,18,4,19,1,12,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,0,1,135,0,1,,FKID000013,ORR North 1,others,High,others_ORR North 1,others_High,others_Hebbala,Hebbala,North Zone 1,0
18,7,0,16,10,19,3,3,1,0,0,-0.9659258262890684,0.2588190451025203,1,0,0,0,118,0,1,,FKID000014,Old Madras Road,pot_holes,High,pot_holes_Old Madras Road,pot_holes_High,pot_holes_Halasur,Halasur,__MISSING__,1
