id,event_type,event_cause,latitude,longitude,address,corridor,junction,zone,police_station,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime,closed_datetime,status,is_stale_active,duration_mins,hour_of_day,day_of_week,month,is_high_priority_corridor,is_non_corridor,description,modified_datetime
FKID000000,unplanned,vehicle_breakdown,13.0400041,77.5180991,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",Tumkur Road,,,Peenya,High,False,lcv,2024-03-07 17:01:48.111000+00:00,,,closed,False,,17,3,3,True,False,s m circle in coming  man track,2024-03-07 19:35:47.871698+00:00
FKID000009,unplanned,vehicle_breakdown,13.0373543,77.6540442,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",Non-corridor,,,Hennuru,Low,False,lcv,2024-01-30 05:25:50.078000+00:00,,,closed,False,,5,1,1,False,True,,2024-01-30 07:35:47.963222+00:00
FKID000032,unplanned,vehicle_breakdown,12.8955737,77.5993711,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",Bannerghata Road,,,J.P. Nagar,High,False,lcv,2024-01-30 05:43:18.534000+00:00,,,closed,False,,5,1,1,False,False,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,2024-01-30 08:35:47.752866+00:00
FKID000043,unplanned,vehicle_breakdown,13.0467058,77.5036495,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",Non-corridor,,,Chikkabanavara,Low,False,lcv,2024-03-07 18:29:50.857000+00:00,,,closed,False,,18,3,3,False,True,,2024-03-07 20:35:47.751423+00:00
FKID000046,unplanned,vehicle_breakdown,13.0309717,77.5364661,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",Tumkur Road,,,Yeshwanthpura,High,False,lcv,2024-01-30 19:33:25.417000+00:00,,,closed,False,,19,1,1,True,False,Cmti jn incoming [LOCATION] LGv ವೆಹಿಕಲ್ ಕಮಾನ್ ಪಾಟ್ ಕಟ್ ಆಗಿದೆ ಸರ್,2024-01-30 21:35:48.087938+00:00
FKID000051,unplanned,vehicle_breakdown,12.936133,77.5187044,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",Mysore Road,,,Byatarayanapura,High,False,lcv,2024-01-30 21:13:55.445000+00:00,,,closed,False,,21,1,1,True,False,,2024-01-30 23:35:47.674176+00:00
FKID000074,unplanned,vehicle_breakdown,12.9511354,77.5739687,"DTV Dwarakanatha Road, BNV Subramanya Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",Non-corridor,,,V.V.Puram (C.Pet),Low,False,lcv,2024-01-30 22:39:37.276000+00:00,,,closed,False,,22,1,1,False,True,LGV Vehical Tyre blast national college metro near towords Mss junction traffic One side moving Sir,2024-01-31 01:35:47.812727+00:00
FKID000086,unplanned,vehicle_breakdown,12.8482637,77.6713737,"4th Main Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Non-corridor,,,Electronic City,Low,False,lcv,2024-01-31 02:47:16.032000+00:00,,2024-01-31 04:10:44.744402+00:00,closed,False,83.47854003333333,2,2,1,False,True,Lgv breake down veersandar to [LOCATION] near ec 1,2024-01-31 04:10:44.744975+00:00
FKID000091,unplanned,vehicle_breakdown,12.974757,77.5657216,"Binny Mill Main Road, Railway Quarters, Subhash Nagar, Sevashrama, Bengaluru, Karnataka. Pin-560023 (India)",Magadi Road,,,Magadi Road,High,False,lcv,2024-01-31 01:22:31.388000+00:00,,,closed,False,,1,2,1,True,False,Towards hunasemara sir,2024-01-31 03:35:47.890284+00:00
FKID000114,unplanned,vehicle_breakdown,12.9360494,77.6154975,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",Non-corridor,,,Adugodi,Low,True,lcv,2024-03-07 20:31:07.587000+00:00,,,closed,False,,20,3,3,False,True,,2024-03-07 22:35:48.244176+00:00
FKID000121,unplanned,vehicle_breakdown,13.0152581,77.5639687,"CV Raman Road, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",Tumkur Road,,,Sadashivanagar,High,False,lcv,2024-03-07 19:49:46.025000+00:00,,,closed,False,,19,3,3,True,False,Mattikere cross towards k08 canter offroad agide sir [PERSON] problem agide one side traffic moment hogtide sir,2024-03-07 22:35:48.198782+00:00
